Date,Open,High,Low,Close,Adj Close,Volume
2014-01-24,92.120003,92.610001,90.610001,90.610001,73.460136,10604200
2014-01-27,90.300003,90.760002,89.849998,89.940002,72.916939,8685200
2014-01-28,90.580002,90.599998,89.790001,90.099998,73.046669,8254400
2014-01-29,89.470001,89.709999,88.529999,88.900002,72.073807,11160100
2014-01-30,89.620003,89.779999,89.010002,89.500000,72.560219,6874900
2014-01-31,89.010002,89.339996,88.150002,88.470001,71.725189,12193800
2014-02-03,88.750000,88.779999,86.610001,86.779999,70.355049,13944600
2014-02-04,86.930000,87.279999,86.089996,86.620003,70.225334,11436400
2014-02-05,86.489998,87.669998,86.480003,87.279999,70.760406,10667300
2014-02-06,87.629997,88.760002,87.550003,88.750000,71.952179,10037900
2014-02-07,88.919998,90.040001,88.610001,90.040001,72.998024,9435100
2014-02-10,90.239998,91.080002,89.800003,91.070000,73.833069,8080200
2014-02-11,91.089996,92.970001,90.949997,92.970001,75.373459,11556300
2014-02-12,92.949997,92.989998,91.949997,92.419998,74.927544,7696100
2014-02-13,92.000000,92.620003,91.709999,92.559998,75.041069,5926000
2014-02-14,92.599998,92.949997,92.029999,92.760002,75.203194,5485100
2014-02-18,92.769997,92.849998,92.089996,92.169998,74.724876,6926500
2014-02-19,92.150002,92.750000,91.570000,91.639999,74.295204,7693400
2014-02-20,91.690002,92.730003,91.309998,92.379997,74.895142,8160100
2014-02-21,91.860001,92.250000,91.449997,91.519997,74.731804,7381500
2014-02-24,91.449997,92.059998,91.099998,91.110001,74.397034,8406700
2014-02-25,91.589996,91.870003,90.660004,91.110001,74.397034,6383400
2014-02-26,91.110001,91.540001,90.769997,91.110001,74.397034,6334100
2014-02-27,91.160004,91.419998,90.750000,91.360001,74.601158,7040300
2014-02-28,91.419998,92.639999,91.059998,92.120003,75.221733,9643700
2014-03-03,91.129997,91.980003,90.830002,91.559998,74.764481,7506700
2014-03-04,92.470001,93.459999,92.250000,93.339996,76.217949,8796300
2014-03-05,93.269997,93.300003,92.379997,92.589996,75.605530,6842500
2014-03-06,93.190002,93.650002,92.820000,92.889999,75.850510,7718300
2014-03-07,93.370003,93.480003,92.690002,93.320000,76.201622,6792000
