Date,Open,High,Low,Close,Adj Close,Volume
2014-01-24,29.278936,29.373814,28.519924,28.548388,21.482201,38059518
2014-01-27,28.500950,28.700190,28.140417,28.140417,21.175205,34880233
2014-01-28,28.880455,29.174574,28.586338,28.861481,21.717793,35917158
2014-01-29,28.690702,28.899431,28.462997,28.567362,21.496473,30796615
2014-01-30,28.842505,29.269449,28.662239,29.240988,22.003372,33832873
2014-01-31,28.994307,29.089184,28.662239,28.842505,21.703516,43648037
2014-02-03,29.440228,30.066414,29.003796,29.032257,21.846302,64621372
2014-02-04,30.018974,30.360531,29.032257,29.829222,22.446007,49779050
2014-02-05,29.402277,29.582542,29.013283,29.079697,22.064466,39166429
2014-02-06,29.136621,29.326376,29.032257,29.259962,22.201244,24839618
2014-02-07,29.259962,29.677420,29.041746,29.620493,22.474798,29310791
2014-02-10,29.658443,29.857685,29.535105,29.857685,22.654774,23811336
2014-02-11,30.161289,30.341557,29.819735,30.246679,22.949930,26076382
2014-02-12,30.237192,30.360531,29.933586,29.990513,22.755556,22406459
2014-02-13,29.886148,30.218216,29.791271,30.075901,22.820341,19886556
2014-02-14,30.246679,30.360531,30.075901,30.303604,22.993118,19915962
2014-02-18,30.180265,30.445921,30.161289,30.246679,22.949930,20750730
2014-02-19,30.284630,30.322580,29.829222,29.867172,22.661970,29245233
2014-02-20,29.734344,30.085388,29.658443,29.933586,22.712362,23668624
2014-02-21,30.056927,30.142315,29.829222,29.848198,22.647581,19468856
2014-02-24,30.351044,30.436434,29.914612,30.351044,23.029110,40868850
2014-02-25,29.933586,30.351044,29.924099,30.256166,22.957121,28665216
2014-02-26,30.113852,30.360531,30.094877,30.351044,23.029110,26374664
2014-02-27,30.237192,30.588236,30.199242,30.578749,23.201889,23981978
2014-02-28,30.474382,30.749525,30.218216,30.464895,23.115496,29003550
2014-03-03,29.905123,30.493359,29.905123,30.341557,23.021915,25076663
2014-03-04,30.683111,31.062618,30.683111,31.015181,23.533035,27746655
2014-03-05,30.977230,31.261860,30.929790,31.072105,23.576225,23663776
2014-03-06,31.119545,31.271347,30.749525,30.796965,23.367456,21629029
2014-03-07,30.844402,30.986717,30.531309,30.768501,23.345865,18561783
2014-03-10,30.759012,30.882353,30.635674,30.730551,23.317070,16819100
2014-03-11,30.692600,30.948767,30.588236,30.759012,23.338661,25470648
2014-03-12,30.502846,30.901327,30.294119,30.341557,23.021915,34273445
2014-03-13,30.351044,30.379507,29.326376,29.525618,22.402813,48374068
2014-03-14,29.554079,29.829222,29.250475,29.629980,22.481991,28576680
2014-03-17,29.800758,29.914612,29.658443,29.810247,22.618776,22412467
2014-03-18,29.857685,30.417458,29.810247,30.294119,22.985924,24326742
2014-03-19,30.294119,30.436434,29.781784,30.085388,22.827543,24329482
2014-03-20,30.474382,30.474382,30.085388,30.275143,22.971519,23921373
